
#f:	I:	U ges:	U_C:	phi: [°]	U_L+R:
109.6	15.49	9.45	13.38	-54.2		4.2
154.8	35.26	9.48	21.6	-62.3		13
173.3	55	9.46	30.4	-50.8		22.7
196.5	101.3	9.32	49.2	-14.9		47.2
200	104.8	9.26	50.1	-5.4		49.7
201.6	105.7	9.26	49.9	0.726		50.5
202.8	105.5	9.26	49.6	3.65		50.7
210.3	97.6	9.32	44.4	25		48.6
222.2	75.2	9.43	32.5	48.4		39.6
261.8	36.74	9.5	13.36	74.5		22.3
314.5	21.99	9.5	6.66	81.9		16.04
279.5	15.1	9.52	3.8	86.6		13.26
433.5	12.07	9.53	2.66	87.8		12.14
